;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
551,000;0,14974;599,000;0,038974;501,000;0,54071;
551,500;0,14646;599,500;0,038003;501,500;0,53696;
552,000;0,14335;600,000;0,037101;502,000;0,53328;
552,500;0,14027;600,500;0,036365;502,500;0,52966;
553,000;0,13703;601,000;0,035758;503,000;0,52606;
553,500;0,13363;601,500;0,035134;503,500;0,5225;
554,000;0,13029;602,000;0,034385;504,000;0,51894;
554,500;0,12722;602,500;0,033513;504,500;0,51536;
555,000;0,12444;603,000;0,03259;505,000;0,51174;
555,500;0,1218;603,500;0,031729;505,500;0,50812;
556,000;0,11919;604,000;0,031027;506,000;0,50455;
556,500;0,11666;604,500;0,030526;506,500;0,50103;
557,000;0,11432;605,000;0,030167;507,000;0,49755;
557,500;0,11215;605,500;0,029816;507,500;0,4941;
558,000;0,11004;606,000;0,029347;508,000;0,49066;
558,500;0,1078;606,500;0,028695;508,500;0,48712;
559,000;0,10538;607,000;0,027904;509,000;0,48338;
559,500;0,10289;607,500;0,027097;509,500;0,47941;
560,000;0,10051;608,000;0,026385;510,000;0,47535;
560,500;0,098384;608,500;0,025795;510,500;0,47147;
561,000;0,09653;609,000;0,025311;511,000;0,46799;
561,500;0,094878;609,500;0,024905;511,500;0,4649;
562,000;0,093289;610,000;0,024538;512,000;0,46203;
562,500;0,091611;610,500;0,024142;512,500;0,45914;
563,000;0,089794;611,000;0,023663;513,000;0,45612;
563,500;0,087933;611,500;0,023081;513,500;0,45297;
564,000;0,086152;612,000;0,022434;514,000;0,44977;
564,500;0,084509;612,500;0,021787;514,500;0,44664;
565,000;0,082998;613,000;0,0212;515,000;0,44366;
565,500;0,081545;613,500;0,020656;515,500;0,44081;
566,000;0,080048;614,000;0,02009;516,000;0,43794;
566,500;0,078447;614,500;0,019487;516,500;0,43487;
567,000;0,076819;615,000;0,018898;517,000;0,43153;
567,500;0,07531;615,500;0,018371;517,500;0,42796;
568,000;0,073986;616,000;0,017905;518,000;0,42418;
568,500;0,072768;616,500;0,017473;518,500;0,42023;
569,000;0,071529;617,000;0,017088;519,000;0,41616;
569,500;0,070245;617,500;0,016765;519,500;0,41214;
570,000;0,069013;618,000;0,01648;520,000;0,40837;
570,500;0,067908;618,500;0,016179;520,500;0,405;
571,000;0,066899;619,000;0,015825;521,000;0,40194;
571,500;0,065901;619,500;0,015429;521,500;0,39898;
572,000;0,064887;620,000;0,014997;522,000;0,39592;
572,500;0,063871;620,500;0,014549;522,500;0,39268;
573,000;0,062818;621,000;0,014125;523,000;0,38937;
573,500;0,061656;621,500;0,013774;523,500;0,3861;
574,000;0,060377;622,000;0,013499;524,000;0,38294;
574,500;0,059053;622,500;0,013258;524,500;0,37987;
575,000;0,057762;623,000;0,012993;525,000;0,37687;
575,500;0,056549;623,500;0,012681;525,500;0,37393;
576,000;0,055456;624,000;0,012341;526,000;0,37102;
576,500;0,054533;624,500;0,012013;526,500;0,36812;
577,000;0,053761;625,000;0,011744;527,000;0,36522;
577,500;0,05302;625,500;0,01155;527,500;0,36229;
